Event number: 0
--------------------------------------------------------------------------------------------------------------
index |     pID |  mID |    E (GeV) |            StartVertex xyz         |           Momentum xyz
   0  |    2212 |   -1 |    10.044  |  (    0.000,     0.000,     0.000) |  (    0.000,     0.000,    10.000)
   1  |    2212 |    0 |     1.101  |  (    0.304,     0.759,    47.173) |  (    0.061,     0.454,    -0.347)
   2  |    2212 |    0 |     1.135  |  (    0.304,     0.759,    47.173) |  (   -0.078,     0.309,     0.554)
   3  |     211 |    0 |     0.245  |  (    0.304,     0.759,    47.173) |  (    0.175,     0.073,     0.067)
   4  |     111 |    0 |     0.388  |  (    0.304,     0.759,    47.173) |  (   -0.049,    -0.053,     0.357)
   5  |      22 |    4 |     0.363  |  (    0.304,     0.759,    47.173) |  (   -0.032,    -0.035,     0.360)
   6  |     -11 |    5 |     0.254  |  (   -0.670,    -0.306,    58.132) |  (   -0.022,    -0.025,     0.252)
   7  |      11 |    5 |     0.109  |  (   -0.670,    -0.306,    58.132) |  (   -0.009,    -0.011,     0.108)
   8  |    2112 |    0 |     1.298  |  (    0.304,     0.759,    47.173) |  (    0.689,    -0.216,     0.531)
   9  |    2112 |    8 |     1.191  |  (   74.022,   -25.308,   106.491) |  (    0.498,     0.094,     0.528)
  10  |    2112 |    9 |     1.166  |  (  123.415,   -15.979,   158.832) |  (    0.491,     0.037,     0.483)
  11  |    2112 |   10 |     1.154  |  (  145.523,   -14.333,   180.605) |  (    0.536,     0.232,     0.330)
  12  |    2112 |   11 |     1.124  |  (  153.465,   -10.892,   185.504) |  (    0.504,     0.346,     0.088)
  13  |    2112 |   12 |     1.067  |  (  157.965,    -7.804,   186.289) |  (    0.021,     0.144,     0.485)
  14  |    -211 |    0 |     1.176  |  (    0.304,     0.759,    47.173) |  (   -0.093,     0.213,     1.144)
  15  |    -211 |   14 |     0.530  |  (   -2.238,     6.943,    83.109) |  (   -0.152,     0.255,     0.416)
  16  |    2112 |   15 |     1.074  |  (   -8.437,    20.182,   113.857) |  (    0.469,     0.206,     0.095)
  17  |    2212 |    0 |     6.949  |  (    0.304,     0.759,    47.173) |  (   -0.271,    -0.167,     6.878)
  18  |     211 |   17 |     0.556  |  (   -0.117,     0.549,    57.614) |  (    0.201,     0.045,     0.497)
  19  |     111 |   17 |     2.457  |  (   -0.117,     0.549,    57.614) |  (   -0.282,    -0.696,     2.335)
  20  |      22 |   19 |     1.803  |  (   -0.117,     0.549,    57.614) |  (   -0.152,    -0.494,     1.727)
  21  |     -11 |   20 |     1.585  |  (   -0.710,    -1.383,    64.368) |  (   -0.133,    -0.435,     1.518)
  22  |      22 |   21 |     0.774  |  (   -1.710,    -4.684,    75.914) |  (   -0.067,    -0.213,     0.741)
  23  |     -11 |   22 |     0.447  |  (   -5.109,   -15.408,   113.242) |  (   -0.039,    -0.124,     0.428)
  24  |      22 |   23 |     0.315  |  (   -6.219,   -18.782,   124.933) |  (   -0.027,    -0.075,     0.305)
  25  |     -11 |   24 |     0.223  |  (   -8.169,   -24.275,   147.112) |  (   -0.019,    -0.053,     0.215)
  26  |      11 |   22 |     0.327  |  (   -5.109,   -15.408,   113.242) |  (   -0.029,    -0.089,     0.313)
  27  |      22 |   21 |     0.143  |  (   -1.401,    -3.707,    72.511) |  (   -0.013,    -0.039,     0.137)
