Event number: 0
--------------------------------------------------------------------------------------------------------------
index |     pID |  mID |    E (GeV) |            StartVertex xyz         |           Momentum xyz
   0  |    2212 |   -1 |    10.088  |  (  -26.000,    34.000,   280.000) |  (   -0.000,    -0.000,    10.044)
   1  |    2212 |    0 |     1.043  |  (  -25.999,    33.998,   291.392) |  (    0.005,     0.266,     0.369)
   2  |    2212 |    0 |     1.041  |  (  -25.999,    33.998,   291.392) |  (   -0.051,     0.260,    -0.364)
   3  |    2212 |    0 |     1.048  |  (  -25.999,    33.998,   291.392) |  (   -0.432,    -0.160,     0.079)
   4  |    2112 |    0 |     1.227  |  (  -25.999,    33.998,   291.392) |  (   -0.330,     0.599,    -0.395)
   5  |    2112 |    4 |     1.144  |  ( -203.840,   315.753,   118.907) |  (   -0.393,     0.500,    -0.144)
   6  |    2112 |    5 |     1.043  |  ( -221.337,   337.985,   112.496) |  (   -0.440,     0.086,    -0.059)
   7  |    2212 |    0 |     1.646  |  (  -25.999,    33.998,   291.392) |  (   -0.589,    -0.463,     1.126)
   8  |    2212 |    7 |     1.315  |  (  -35.267,    26.976,   308.035) |  (   -0.245,    -0.274,     0.845)
   9  |     211 |    0 |     0.408  |  (  -25.999,    33.998,   291.392) |  (   -0.248,     0.182,     0.228)
  10  |    2212 |    9 |     1.081  |  (  -26.286,    34.223,   291.678) |  (   -0.314,     0.374,     0.224)
  11  |    2112 |    0 |     1.047  |  (  -25.999,    33.998,   291.392) |  (   -0.440,     0.138,     0.039)
  12  |    2112 |   11 |     1.043  |  (  -43.963,    39.796,   292.826) |  (   -0.314,     0.273,    -0.179)
  13  |    2212 |    0 |     1.160  |  (  -25.999,    33.998,   291.392) |  (   -0.043,     0.304,     0.608)
  14  |    -211 |    0 |     0.630  |  (  -25.999,    33.998,   291.392) |  (   -0.344,     0.095,     0.501)
  15  |    2112 |    0 |     1.148  |  (  -25.999,    33.998,   291.392) |  (    0.247,     0.390,     0.471)
  16  |    2112 |   15 |     1.062  |  (  -25.417,    34.917,   292.503) |  (    0.270,     0.407,     0.080)
  17  |    2112 |    0 |     1.306  |  (  -25.999,    33.998,   291.392) |  (    0.889,     0.124,     0.132)
  18  |     111 |    0 |     2.895  |  (  -25.999,    33.998,   291.392) |  (    0.056,    -0.214,     2.884)
  19  |      22 |   18 |     1.364  |  (  -25.999,    33.998,   291.392) |  (    0.085,    -0.068,     1.360)
