Event number: 0
--------------------------------------------------------------------------------------------------------------
index |     pID |  mID |    E (GeV) |            StartVertex xyz         |           Momentum xyz
   0  |    2212 |   -1 |    10.044  |  (    0.000,     0.000,     0.000) |  (    0.000,     0.000,    10.000)
   1  |    2212 |    0 |     1.048  |  (    0.005,     0.005,    12.452) |  (    0.298,    -0.098,     0.346)
   2  |    -211 |    0 |     0.702  |  (    0.005,     0.005,    12.452) |  (   -0.414,     0.139,     0.531)
   3  |     111 |    2 |     0.229  |  (  -21.992,     6.880,    39.319) |  (   -0.140,     0.097,    -0.071)
   4  |      22 |    3 |     0.188  |  (  -21.992,     6.880,    39.319) |  (   -0.164,     0.083,    -0.041)
   5  |     -11 |    4 |     0.161  |  (  -77.193,    34.814,    25.355) |  (   -0.141,     0.069,    -0.036)
   6  |    2112 |    2 |     1.048  |  (  -21.992,     6.880,    39.319) |  (   -0.006,     0.380,    -0.267)
   7  |    2112 |    0 |     1.338  |  (    0.005,     0.005,    12.452) |  (   -0.336,    -0.013,     0.892)
   8  |    2112 |    7 |     1.082  |  (   -4.267,    -0.176,    21.099) |  (    0.232,    -0.262,     0.406)
   9  |    2112 |    7 |     1.173  |  (   -4.267,    -0.176,    21.099) |  (   -0.436,     0.261,     0.485)
  10  |    -211 |    0 |     0.611  |  (    0.005,     0.005,    12.452) |  (    0.213,     0.263,     0.489)
  11  |    -211 |   10 |     0.566  |  (    2.848,     3.545,    18.850) |  (    0.219,     0.323,     0.385)
  12  |     111 |   11 |     0.446  |  (    8.231,    11.429,    28.596) |  (   -0.137,     0.289,     0.279)
  13  |      22 |   12 |     0.380  |  (    8.231,    11.429,    28.596) |  (   -0.165,     0.249,     0.235)
  14  |     -11 |   13 |     0.284  |  (    3.457,    18.654,    35.400) |  (   -0.123,     0.186,     0.176)
  15  |      22 |   14 |     0.135  |  (    3.083,    19.243,    35.937) |  (   -0.057,     0.091,     0.081)
  16  |     -11 |   15 |     0.115  |  (   -1.338,    26.256,    42.230) |  (   -0.049,     0.076,     0.070)
  17  |    2212 |    0 |     7.279  |  (    0.005,     0.005,    12.452) |  (    0.301,    -0.270,     7.207)
  18  |     211 |   17 |     0.483  |  (    2.379,    -2.337,    73.244) |  (   -0.000,    -0.224,     0.405)
  19  |     111 |   18 |     0.293  |  (    2.302,   -18.036,   102.133) |  (   -0.204,     0.088,     0.133)
  20  |      22 |   19 |     0.230  |  (    2.302,   -18.036,   102.133) |  (   -0.187,     0.028,     0.131)
  21  |      11 |   20 |     0.208  |  (   -6.488,   -16.704,   108.264) |  (   -0.172,     0.026,     0.114)
  22  |    2112 |   17 |     6.529  |  (    2.379,    -2.337,    73.244) |  (    0.214,    -0.043,     6.457)
  23  |     111 |   22 |     0.194  |  (    3.346,    -2.530,   102.417) |  (   -0.105,    -0.062,    -0.067)
  24  |      22 |   23 |     0.133  |  (    3.346,    -2.530,   102.417) |  (   -0.124,    -0.007,    -0.049)
  25  |    2112 |   22 |     1.078  |  (    3.346,    -2.530,   102.417) |  (    0.122,    -0.443,     0.262)
  26  |    2112 |   22 |     1.079  |  (    3.346,    -2.530,   102.417) |  (    0.379,     0.189,    -0.319)
  27  |    2212 |   22 |     1.142  |  (    3.346,    -2.530,   102.417) |  (    0.020,     0.397,     0.516)
  28  |    2212 |   22 |     1.143  |  (    3.346,    -2.530,   102.417) |  (    0.561,    -0.087,     0.324)
  29  |    2212 |   22 |     1.153  |  (    3.346,    -2.530,   102.417) |  (    0.559,     0.350,     0.118)
  30  |    2212 |   29 |     1.072  |  (    8.872,     1.056,   103.622) |  (    0.474,     0.169,     0.124)
  31  |    2212 |   22 |     1.193  |  (    3.346,    -2.530,   102.417) |  (    0.068,     0.170,     0.713)
  32  |    2112 |   22 |     1.303  |  (    3.346,    -2.530,   102.417) |  (   -0.518,    -0.528,     0.517)
  33  |    2112 |   32 |     1.080  |  (  -52.806,   -44.671,   152.820) |  (   -0.425,     0.048,     0.318)
  34  |    2112 |   32 |     1.119  |  (  -52.806,   -44.671,   152.820) |  (   -0.106,    -0.572,     0.177)
  35  |    2212 |   34 |     1.050  |  (  -68.019,   -88.852,   160.841) |  (   -0.227,    -0.302,     0.281)
  36  |    -211 |   22 |     1.551  |  (    3.346,    -2.530,   102.417) |  (   -0.759,    -0.080,     1.343)
  37  |    -211 |   36 |     1.211  |  (  -33.914,    -5.803,   168.237) |  (   -0.558,    -0.078,     1.063)
  38  |    -211 |   37 |     0.322  |  (  -36.893,    -6.216,   173.998) |  (   -0.272,    -0.055,    -0.085)
  39  |    2112 |   37 |     1.555  |  (  -36.893,    -6.216,   173.998) |  (   -0.359,    -0.240,     1.162)
  40  |    2112 |   39 |     1.374  |  (  -37.044,    -6.317,   174.485) |  (   -0.060,    -0.290,     0.957)
  41  |    2112 |   40 |     1.295  |  (  -37.702,    -9.496,   184.989) |  (   -0.178,    -0.097,     0.867)
  42  |    2212 |   41 |     1.286  |  (  -38.619,    -9.994,   189.448) |  (   -0.155,    -0.211,     0.839)
  43  |    2212 |   22 |     2.936  |  (    3.346,    -2.530,   102.417) |  (    0.202,    -0.003,     2.775)
  44  |    2212 |   43 |     1.130  |  (    3.460,    -2.531,   104.017) |  (   -0.194,     0.073,     0.594)
  45  |    2112 |   43 |     1.179  |  (    3.460,    -2.531,   104.017) |  (    0.345,    -0.005,     0.624)
